id,year_birth,education,marital_status,income,sex,nationality,zipcode
5524,1957,Graduation,Single,58138,f,Italy,90089
2174,1954,Graduation,Single,46344,f,Greece,90093
4141,1965,Graduation,Together,71613,m,Germany,93159
6182,1984,Graduation,Together,26646,m,France,90003
5324,1981,PhD,Married,58293,m,France,95971
7446,1967,Master,Together,62513,f,GreatBritain,91308
965,1971,Graduation,Divorced,55635,f,Denmark,91826
6177,1985,PhD,Married,33454,m,Denmark,94880
4855,1974,PhD,Together,30351,f,Denmark,96936
5899,1950,PhD,Together,5648,f,Austria,93345
387,1976,Basic,Married,7500,f,France,97208
2125,1959,Graduation,Divorced,63033,f,Portugal,96583
8180,1952,Master,Divorced,59354,m,France,90483
2569,1987,Graduation,Married,17323,m,Finland,98979
2114,1946,PhD,Single,82800,f,France,94094
9736,1980,Graduation,Married,41850,m,Italy,91723
4939,1946,Graduation,Together,37760,m,Finland,92589
6565,1949,Master,Married,76995,f,Germany,90198
2278,1985,2n Cycle,Single,33812,m,GreatBritain,93174
9360,1982,Graduation,Married,37040,f,Denmark,90784
5376,1979,Graduation,Married,2447,f,Germany,98015
1993,1949,PhD,Married,58607,f,Austria,98319
4047,1954,PhD,Married,65324,m,Italy,98802
1409,1951,Graduation,Together,40689,m,Hungary,95144
7892,1969,Graduation,Single,18589,f,Denmark,93649
2404,1976,Graduation,Married,53359,m,Denmark,96410
9422,1989,Graduation,Married,38360,f,Ireland,94782
1966,1965,PhD,Married,84618,m,Poland,99961
6864,1989,Master,Divorced,10979,m,Germany,93694
3033,1963,Master,Together,38620,m,Denmark,92330
5710,1970,Graduation,Together,40548,m,Hungary,92150
7373,1952,PhD,Divorced,46610,f,Hungary,94361
8755,1946,Master,Married,68657,f,Greece,91445
10738,1951,Master,Single,49389,f,Hungary,93240
4339,1970,PhD,Married,67353,f,Denmark,96184
10755,1976,2n Cycle,Married,23718,f,France,97737
8595,1973,Graduation,Widow,42429,f,GreatBritain,98978
2968,1943,PhD,Divorced,48948,m,Germany,90838
8601,1980,Graduation,Married,80011,m,Spain,97230
503,1985,Master,Married,20559,f,Denmark,90156
8430,1957,Graduation,Together,21994,m,Ireland,96134
